Tiểu Thuyết Thanh Gươm Diệt Quỷ: Người Dẫn Lối Của Gió - Tặng Kèm Card PVC,50.000 đ,15%,https://cdn0.fahasa.com/media/catalog/product/t/i/tieu-thuyet-thanh-guom-diet-quy-nguoi-dan-loi-cua-gio---cuon-thu-3---kem-obi.jpg,https://www.fahasa.com/tieu-thuyet-thanh-guom-diet-quy-nguoi-dan-loi-cua-gio-tang-kem-card-pvc.html
Thám Tử Đã Chết - Tập 5 - Bản Đặc Biệt - Tặng Kèm 2 Bookmark + 2 Postcard Lịch + Poster,114.750 đ,20%,https://cdn0.fahasa.com/media/catalog/product/z/4/z4000145889612_fb68f19a2d9ac43702fbbeb63b5980b1_2.jpg,https://www.fahasa.com/tham-tu-da-chet-tap-5-ban-dac-biet-tang-kem-2-bookmark-2-postcard-lich-poster.html
Arya Bàn Bên Thỉnh Thoảng Lại Trêu Ghẹo Tôi Bằng Tiếng Nga - Tập 2 - Bản Phổ Thông - Tặng Kèm Bookmark Bế Hình + Bìa Áo Bonus,95.000 đ,15%,https://cdn0.fahasa.com/media/catalog/product/6/0/600arya-ban-ben-thinh-thoang-lai-treu-gheo-toi-bang-tieng-nga---tap-2---ban-pho-thong.jpg,https://www.fahasa.com/arya-ban-ben-thinh-thoang-lai-treu-gheo-toi-bang-tieng-nga-tap-2-ban-pho-thong-tang-kem-bookmark-be-hinh-bia-ao-bonus.html
Thiên Sứ Nhà Bên - Tập 4 - Tặng Kèm Bookmark,76.000 đ,15%,https://cdn0.fahasa.com/media/catalog/product/t/h/thien-su-nha-ben---tap-4---ban-pho-thong.jpg,https://www.fahasa.com/thien-su-nha-ben-tap-4-tang-kem-bookmark.html
Ai Dám Bảo ROM-COM Không Có Ngoài Đời Thực? - Tập 2 - Bản Đặc Biệt - Tặng Kèm Postcard + Poster,118.150 đ,20%,https://cdn0.fahasa.com/media/catalog/product/z/4/z4093829088731_19b51b7c7e45ec00b451c11471269056_2.jpg,https://www.fahasa.com/ai-dam-bao-rom-com-khong-co-ngoai-doi-thuc-tap-2-ban-dac-biet-tang-kem-postcard-poster.html
SPY ROOM - Lớp Học Điệp Viên - Tập 5: Gujin Elna - Bản Đặc Biệt - Tặng Kèm Bookmark + Thẻ Nhân Vật + Huy Hiệu + Móc Khóa,114.750 đ,20%,https://cdn0.fahasa.com/media/catalog/product/z/4/z4000145874857_810c2756be8499b62ecac1398c2b70d4.jpg,https://www.fahasa.com/spy-room-lop-hoc-diep-vien-tap-5-gujin-elna-ban-dac-biet-tang-kem-bookmark-the-nhan-vat-huy-hieu-moc-khoa.html
Ai Dám Bảo ROM-COM Không Có Ngoài Đời Thực? - Bản Đặc Biệt - Tặng Kèm Postcard + Flyer,103.200 đ,20%,https://cdn0.fahasa.com/media/catalog/product/z/3/z3699685606376_984f462831930415329e8523b70c3d41_1_1.jpg,https://www.fahasa.com/ai-dam-bao-rom-com-khong-co-ngoai-doi-thuc-ban-dac-biet-tang-kem-postcard-flyer.html
Thế Giới Otome Game Thật Khắc Nghiệt Với Nhân Vật Quần Chúng - Tập 6 - Tặng Kèm Bookmark + Postcard Hai Mặt,111.200 đ,10%,https://cdn0.fahasa.com/media/catalog/product/h/_/h_nh-s_ch-th_-gi_i-otome-game...-6b_a.jpg,https://www.fahasa.com/the-gioi-otome-game-that-khac-nghiet-voi-nhan-vat-quan-chung-tap-6-tang-kem-bookmark-postcard-hai-mat.html
Dược Sư Tự Sự (Light-novel) - Tập 1 - Tặng Kèm Obi + Bookmark + Huy Hiệu,88.000 đ,20%,https://cdn0.fahasa.com/media/catalog/product/6/0/600duoc-su-tu-su_tieu-thuyet.jpg,https://www.fahasa.com/duoc-su-tu-su-light-novel-tap-1-tang-kem-obi-bookmark-huy-hieu.html
"86-EIGHTY SIX- Ep.7 - Bản Đặc Biệt - Tặng Kèm Postcard Giấy Hai Mặt, Ép Nhũ",112.500 đ,15%,https://cdn0.fahasa.com/media/catalog/product/z/4/z4075993272047_b02bc61197c88a7c8bea5fb9481ccd56_1.jpg,https://www.fahasa.com/86-eighty-six-ep-7-ban-dac-biet-tang-kem-postcard-giay-hai-mat-ep-nhu.html
