titles,lastest_Chap,types,views,follows,condition,discription,teasers,links 
Thiên Kim Độc Phi Trọng Sinh,Chapter 22,Tình trạng:Đang tiến hành,Bình luận:18,Ngày cập nhật:19 phút trước,Lượt xem:117K,,//st.nettruyenup.com/data/comics/158/thien-kim-doc-phi-trong-sinh.jpg,https://www.nettruyenup.com/truyen-tranh/thien-kim-doc-phi-trong-sinh-79774
Vì Hận Tái Sinh ~Người phụ nữ vì phục thù mà từ bỏ gương mặt của mình~,Chapter 7,Tác giả:Fujimori Harumi,Lượt xem:30K,Theo dõi:1.230,Tình trạng:Đang tiến hành,"Một cô gái với cuộc đời bị lấy đi tất cả mọi thứ do bị bắt nạt, vu oan đã tái sinh thành một người khác và cô quyết định trả thù tất cả những ai đã góp phần đẩy cuộc đời mình vào bước đường cùng! Ichimura Hana, một cô gái sinh ra và lớn lên ở Karafuto, bị bắt nạt dã man tại một trường nữ sinh vì ngoại hình xấu xí của mình. Cầm đầu nhóm bắt nạt cô là Takashimazu Ayako, thiên kim tiểu thư của công ty sản xuất giấy lớn nhất Karafuto thời bấy giờ. Sau một lần bị vu cáo là kẻ trộm, Hana đã bị đuổi học.Một thời gian sau, trong một cuộc di tản bởi trận không kích của quân Liên Xô, gia đình Hana đáng ra đã lên được một con tàu để thoát khỏi Karafuto đến Hokkaido, nhưng cả nhà cô đã bị xua đuổi khỏi tàu bởi chính sự vu cáo của bè lũ bắt nạt đó...",//st.nettruyenup.com/data/comics/106/vi-han-tai-sinh-nguoi-phu-nu-vi-phuc-thu-4610.jpg,https://www.nettruyenup.com/truyen-tranh/vi-han-tai-sinh-nguoi-phu-nu-vi-phuc-thu-ma-tu-bo-guong-mat-cua-minh-79466
Võ Luyện Đỉnh Phong,Chapter 3083,Tình trạng:Đang tiến hành,Bình luận:317K,Ngày cập nhật:24 phút trước,Lượt xem:798M,"Võ đạo đỉnh phong, là cô độc, là tịch mịch, là dài đằng đẵng cầu tác, là cao xử bất thắng hàn Phát triển trong nghịch cảnh, cầu sinh nơi tuyệt địa, bất khuất không buông tha, mới có thể có thể phá võ chi cực đạo. Lăng Tiêu các thí luyện đệ tử kiêm quét rác gã sai vặt Dương Khai ngẫu lấy được một bản vô tự hắc thư, từ nay về sau đạp vào dài đằng đẵng võ đạo.",//st.nettruyenup.com/data/comics/32/vo-luyen-dinh-phong.jpg,https://www.nettruyenup.com/truyen-tranh/vo-luyen-dinh-phong-176960
"Please Go Home, Akutsu-san!",Chapter 133,"Thể loại:Comedy, Ecchi, Manga, Romance, School Life",Tình trạng:Đang tiến hành,Bình luận:9.960,Tác giả:Nagaoka Taichi,"Ooyama-kun học sinh cá biệt trong lớp Akutsu-san, vì một vài lý do , cô ấy biến nhà anh thành nơi lui tới! Ooyama sẽ làm điều gì đó kinh khủng với cô ấy hay anh sẽ đuổi cô ấy ra ngoài? Nhưng đối phó với cử chỉ dễ thương, đáng yêu của Akutsu-san, trong một không gian chật hẹp như vậy, anh ta chắc sẽ bối rối! Liệu anh còn muốn cô ấy về nhà? Một bộ phim hài hước dưới một mái nhà.",//st.nettruyenup.com/data/comics/190/please-go-home-akutsu-san.jpg,https://www.nettruyenup.com/truyen-tranh/please-go-home-akutsu-san-288620
"Tái sinh thành quý tộc quyền lực nhất, sở hữu sức mạnh được sinh ra từ phước lành",Chapter 24.2,"Thể loại:Action, Adventure, Manga, Shounen",Tình trạng:Đang tiến hành,Bình luận:1.130,Tác giả:Miki Nazuna,"Được chuyển sinh thành một hoàng tử thứ mười ba, Noah ban đầu không có tư cách can dự vào việc kế vị ngai vàng, vì vậy với lãnh thổ được giao phó, cậu sống tự do tự tạiTuy nhiên, vị thái tử kế thừa ngai vàng đã chết nên các hoàng tử còn lại tranh giành ngôi vị khá gay gắt .Noah, người có được sức mạnh mạnh nhất vì sống tự do như một hoàng tử, đã áp đảo các hoàng tử khác với sức mạnh đó và cuối cùng trở thành hoàng đế có quyền lực cao nhất trên trái đất.",//st.nettruyenup.com/data/comics/167/tai-sinh-thanh-quy-toc-quyen-luc-nhat-so-1982.jpg,https://www.nettruyenup.com/truyen-tranh/tai-sinh-thanh-quy-toc-quyen-luc-nhat-so-huu-suc-manh-duoc-sinh-ra-tu-phuoc-lanh-63399
Rosen Garten Saga,Chapter 38,Tác giả:Sakimori Fuji,Lượt xem:1.821K,Theo dõi:23K,Tình trạng:Đang tiến hành,,//st.nettruyenup.com/data/comics/133/rosen-garten-saga.jpg,https://www.nettruyenup.com/truyen-tranh/rosen-garten-saga-380210
Võng Du Chi Cận Chiến Pháp Sư,Chapter 458,Tình trạng:Đang tiến hành,Bình luận:2.989,Ngày cập nhật:2 giờ trước,Lượt xem:18M,"Một võ sư siêu cấp chơi game online nhưng bị người ta chọn lầm làm pháp sư. Với thói quen lấy cứng đối cứng, chơi xáp lá cà, hắn chỉ có thể đâm lao phải theo lao. Thế là hắn quyết định trở thành một pháp sư cận chiến, đem sức mạnh cùng pháp thuật kết hợp lại, mở ra một con đường hoàn toàn mới trong trò chơi...",//st.nettruyenup.com/data/comics/64/vong-du-chi-can-chien-phap-su.jpg,https://www.nettruyenup.com/truyen-tranh/vong-du-chi-can-chien-phap-su-123520
Phá Vỡ Kế Hoạch Của Tra Nam Tôi Về Bên Đại Boss,Chapter 3,Tình trạng:Đang tiến hành,Bình luận:39,Ngày cập nhật:2 giờ trước,Lượt xem:16K,"Người làm công Khương Mạt, xuyên vào hệ thống cẩu huyết văn, bị yêu cầu dùng sinh mệnh thúc đẩy tình cảm nam nữ chủ. Sau khi Khương Mạt hoàn thành nhiệm vụ theo kiểu phá cho bầy hầy, ánh mắt BOSS phản diện nhìn cô bắt đầu càng ngày càng kỳ lạ…",//st.nettruyenup.com/data/comics/116/pha-vo-ke-hoach-cua-tra-nam-toi-ve-ben-d-1502.jpg,https://www.nettruyenup.com/truyen-tranh/pha-vo-ke-hoach-cua-tra-nam-toi-ve-ben-dai-boss-79732
Gia Tộc Điệp Viên Yozakura,Chapter 138,Tình trạng:Đang tiến hành,Bình luận:3.813,Ngày cập nhật:3 giờ trước,Lượt xem:5.461K,"Taiyou Asano là 1 học sinh cao trung gặp vấn đề trong việc giao tiếp với mọi người. Bạn thời thơ ấu của cậu ta, Mutsumi Yozakura, là người duy nhất có thể nói chuyện bình thường với Taiyou. Rồi 1 ngày cậu phát hiện ra Mutsumi là thành viên của 1 gia đình điệp viên! Tệ hơn nữa, cô hiện đang phải chịu sự quản thúc địa ngục của anh trai mình là kyoichiro. Taiyou sẽ phải làm gì để cứu Mutsumi?! Nhiệm vụ bất khả thi phiên bản tấu hài bắt đầu!",//st.nettruyenup.com/data/comics/249/gia-toc-diep-vien-yozakura.jpg,https://www.nettruyenup.com/truyen-tranh/gia-toc-diep-vien-yozakura-250810
Tôi Muốn Độc Chiếm Cô Bạn Gái Lạnh Lùng Của Mình,Chapter 20,"Thể loại:Drama, Manga, Romance, School Life, Slice of Life",Tình trạng:Đang tiến hành,Bình luận:642,Tác giả:Sugar Amazato,Ngọt + segs + xiu xíu drama nhẹ cho ngày mới năng động :3,//st.nettruyenup.com/data/comics/17/toi-muon-doc-chiem-co-ban-gai-lanh-lung-8314.jpg,https://www.nettruyenup.com/truyen-tranh/toi-muon-doc-chiem-co-ban-gai-lanh-lung-cua-minh-74257
